auc_roc,pr_auc,f1,precision,recall,fpr,fnr,brier,ece,threshold,tp,fp,tn,fn,scenario,model,model_key,auc_degradation
0.7793415637860083,0.7948613890105628,0.36477987421383645,0.23577235772357724,0.8055555555555556,0.8703703703703703,0.19444444444444445,0.2169506349427683,0.3351184614416626,0.37999999999999995,145,470,70,35,B,Environment-only,environment_only,0.04768227093963984
0.9898148148148149,0.9712041884816753,0.49930651872399445,0.33271719038817005,1.0,0.6685185185185185,0.0,0.5008535487734378,0.5549517473619845,0.73,180,361,179,0,B,Gaze + Interaction,gaze_interaction,-0.01276113730439854
0.9252057613168725,0.9221434780828137,0.8368421052631579,0.795,0.8833333333333333,0.07592592592592592,0.11666666666666667,0.15391507209480754,0.2917648133718306,0.5399999999999999,159,41,499,21,B,Gaze + Environment,gaze_environment,0.03038011875240265
0.795514403292181,0.7170605531434958,0.4190919674039581,0.2650957290132548,1.0,0.924074074074074,0.0,0.6257710342801068,0.668969804007146,0.58,180,499,41,0,B,Interaction + Environment,interaction_environment,0.16442155042970286
0.9962962962962963,0.9891304347826086,0.6260869565217391,0.45569620253164556,1.0,0.39814814814814814,0.0,0.3222464319283121,0.39178021446180833,0.7799999999999999,180,215,325,0,B,Early Fusion,early_fusion,-0.011830233630376052
0.9910390946502057,0.9811606190662422,0.44280442804428044,0.2843601895734597,1.0,0.8388888888888889,0.0,0.5965681438737962,0.6338445033515907,0.59,180,453,87,0,B,Late Fusion,late_fusion,-0.008187144404512292
0.9918775720164609,0.9836798364006302,0.5327380952380953,0.3638211382113821,0.9944444444444445,0.5796296296296296,0.005555555555555556,0.5088605581108413,0.5501513300567038,0.9299999999999999,179,313,227,1,B,Three-stream Attention Fusion,attention_fusion,-0.007981846602971077
0.8819753086419752,0.8592794343803595,0.5423728813559323,0.3902439024390244,0.8888888888888888,0.46296296296296297,0.1111111111111111,0.1774312945216283,0.3015534975255529,0.48999999999999994,160,250,290,20,C,Gaze-only,gaze_only,0.045110720803697046
0.9975720164609054,0.9930446570809389,0.8612440191387559,0.7563025210084033,1.0,0.10740740740740741,0.0,0.18070427604586,0.3410647857934237,0.59,180,58,482,0,C,Interaction-only,interaction_only,-0.05785809027446154
0.5,0.625,0.4,0.25,1.0,1.0,0.0,0.22735324040742455,0.1996326744556427,0.37999999999999995,180,540,0,0,C,Environment-only,environment_only,0.3270238347256481
1.0,1.0,0.989010989010989,0.9782608695652174,1.0,0.007407407407407408,0.0,0.006707727115824726,0.024263329643549186,0.73,180,4,536,0,C,Gaze + Interaction,gaze_interaction,-0.022946322489583615
0.8809465020576133,0.8608326905187208,0.8571428571428571,1.0,0.75,0.0,0.25,0.14092129093069963,0.2563767234898276,0.5399999999999999,135,0,540,45,C,Gaze + Environment,gaze_environment,0.07463937801166187
0.9989094650205762,0.9971524416343077,0.8653846153846153,0.7627118644067796,1.0,0.1037037037037037,0.0,0.1702060075267194,0.3367516437441938,0.58,180,56,484,0,C,Interaction + Environment,interaction_environment,-0.03897351129869231
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0011630512628939375,0.009959667424360911,0.7799999999999999,180,0,540,0,C,Early Fusion,early_fusion,-0.015533937334079706
1.0,1.0,0.9972299168975068,0.994475138121547,1.0,0.001851851851851852,0.0,0.005842735727087483,0.041683524065754485,0.59,180,1,539,0,C,Late Fusion,late_fusion,-0.017148049754306616
1.0,1.0,0.9972299168975068,0.994475138121547,1.0,0.001851851851851852,0.0,0.006341187216581895,0.015182508362664113,0.9299999999999999,180,1,539,0,C,Three-stream Attention Fusion,attention_fusion,-0.016104274586510203
0.4753549382716049,0.4766592748126031,0.4783216783216783,0.48169014084507045,0.475,0.5111111111111111,0.525,0.2693434401980881,0.09293842704759704,0.48999999999999994,171,184,176,189,D,Gaze-only,gaze_only,0.4517310911740673
0.504591049382716,0.49597659478328116,0.1764705882352941,0.47560975609756095,0.10833333333333334,0.11944444444444445,0.8916666666666667,0.28608053013583135,0.13718620551129182,0.59,39,43,317,321,D,Interaction-only,interaction_only,0.43512287680372785
1.0,0.9999999999999999,0.694980694980695,0.5325443786982249,1.0,0.8777777777777778,0.0,0.12991606894200589,0.24205925741957293,0.37999999999999995,360,316,44,0,D,Environment-only,environment_only,-0.1729761652743519
0.5016898148148148,0.5129278288764767,0.005509641873278238,0.3333333333333333,0.002777777777777778,0.005555555555555556,0.9972222222222222,0.4756753816376567,0.47492786202217546,0.73,1,2,358,359,D,Gaze + Interaction,gaze_interaction,0.4753638626956016
0.6420216049382717,0.5651195670433786,0.15130023640661938,0.5079365079365079,0.08888888888888889,0.08611111111111111,0.9111111111111111,0.24077922273038221,0.16541748714840246,0.5399999999999999,32,31,329,328,D,Gaze + Environment,gaze_environment,0.3135642751310035
0.8678202160493828,0.8270120864619858,0.6677316293929713,0.7857142857142857,0.5805555555555556,0.15833333333333333,0.41944444444444445,0.19886945636170097,0.19505815102408333,0.58,209,57,303,151,D,Interaction + Environment,interaction_environment,0.09211573767250114
0.7695987654320988,0.7967443118969679,0.10498687664041995,0.9523809523809523,0.05555555555555555,0.002777777777777778,0.9444444444444444,0.37392929837526917,0.40444464404135944,0.7799999999999999,20,1,359,340,D,Early Fusion,early_fusion,0.21486729723382147
0.9575617283950617,0.9294997227724464,0.6546112115732369,0.9378238341968912,0.5027777777777778,0.03333333333333333,0.49722222222222223,0.13126983887590468,0.17734107702142662,0.59,181,12,348,179,D,Late Fusion,late_fusion,0.025290221850631678
0.8075617283950617,0.7762541518600856,0.09870129870129869,0.76,0.05277777777777778,0.016666666666666666,0.9472222222222222,0.40293607435282597,0.4209549631729411,0.9299999999999999,19,6,354,341,D,Three-stream Attention Fusion,attention_fusion,0.1763339970184281
0.8461805555555556,0.90948901780903,0.7272727272727272,0.6451612903225806,0.8333333333333334,0.4583333333333333,0.16666666666666666,0.16549391330186164,0.24093743157055644,0.48999999999999994,300,165,195,60,E,Gaze-only,gaze_only,0.0809054738901166
0.5091666666666667,0.5234765154448462,0.16822429906542058,0.5294117647058824,0.1,0.08888888888888889,0.9,0.27904853955774334,0.12608995474874976,0.59,36,32,328,324,E,Interaction-only,interaction_only,0.43054725951977724
0.44449845679012345,0.44843821122360944,0.6227544910179641,0.48598130841121495,0.8666666666666667,0.9166666666666666,0.13333333333333333,0.2856689007996422,0.12845228533777925,0.37999999999999995,312,330,30,48,E,Environment-only,environment_only,0.38252537793552466
0.9970601851851852,0.9967613676035167,0.9553956834532374,0.991044776119403,0.9222222222222223,0.008333333333333333,0.07777777777777778,0.019385336179144716,0.02154772487055094,0.73,332,3,357,28,E,Gaze + Interaction,gaze_interaction,-0.02000650767476886
0.9235416666666667,0.954652897312868,0.9015691868758915,0.9266862170087976,0.8777777777777778,0.06944444444444445,0.12222222222222222,0.1255832259132607,0.1848176731003655,0.5399999999999999,316,25,335,44,E,Gaze + Environment,gaze_environment,0.032044213402608435
0.5065779320987653,0.5109024799898221,0.21729490022172948,0.5384615384615384,0.1361111111111111,0.11666666666666667,0.8638888888888889,0.2713783164205215,0.11068928604945542,0.58,49,42,318,311,E,Interaction + Environment,interaction_environment,0.45335802162311856
0.9991126543209877,0.9991191241781779,0.9685714285714285,0.9970588235294118,0.9416666666666667,0.002777777777777778,0.058333333333333334,0.012895182370135719,0.015469259442761531,0.7799999999999999,339,1,359,21,E,Early Fusion,early_fusion,-0.014646591655067431
0.9883024691358024,0.9877838595003804,0.9120234604105572,0.9658385093167702,0.8638888888888889,0.030555555555555555,0.1361111111111111,0.0489029828475164,0.06631000279966329,0.59,311,11,349,49,E,Late Fusion,late_fusion,-0.005450518890109057
0.9996682098765433,0.9996704383725205,0.980225988700565,0.9971264367816092,0.9638888888888889,0.002777777777777778,0.03611111111111111,0.005647783468648585,0.007441697062717569,0.9299999999999999,347,1,359,13,E,Three-stream Attention Fusion,attention_fusion,-0.01577248446305346
