artifact_id,copied_filename,original_filename,original_path,archive_path,tier,artifact_type,experiment,dataset_version,model,relevance,source_commit,date,sha256,file_size,original_or_derived,description
ART_0156,first_experiment_interaction_environment.csv,interaction_environment.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/interaction_environment.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_interaction_environment.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,c387b23864a7abd635cac54baa7aa5af259d54306e240b1e53310f3a3e856353,59932,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/interaction_environment.csv
ART_0157,first_experiment_interaction_only.csv,interaction_only.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/interaction_only.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_interaction_only.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,638cede833fd430c3bb2bf70eab43a9b53744c9ecad947b3bbe3021853225939,44182,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/interaction_only.csv
ART_0158,first_experiment_late_fusion.csv,late_fusion.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/late_fusion.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_late_fusion.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,b7de59774ded8e7cb6a6f33b137d374b1505f0b0ef87cf808be19857f3a009ba,40888,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/late_fusion.csv
ART_0159,first_experiment_stress_results.csv,stress_results.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/stress_tests/stress_results.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_stress_results.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:15:21,a9d47765732692c6e7992b6005a6051fcce79cb5fe5769967c33c918314cc625,9354,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/stress_tests/stress_results.csv
ART_0160,first_experiment_stress_results.json,stress_results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/stress_tests/stress_results.json,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_stress_results.json,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:15:21,acdf6b3323f0206cfa225cbbb71220ae3a32159677280256cdd3cd7138b1858a,21570,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/stress_tests/stress_results.json
ART_0161,benchmark_gaze.py,benchmark_gaze.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/scripts/benchmark_gaze.py,Research Paper/13_HISTORY/01_INITIAL_STATE/benchmark_gaze.py,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,0971706a89fe5a2871d14dedd9c5cfa46a00a07d289330d57b8f53a506c40a52,1715,ORIGINAL-COPY,Copied from scripts/benchmark_gaze.py
ART_0162,run_environment_demo.py,run_environment_demo.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/scripts/run_environment_demo.py,Research Paper/13_HISTORY/01_INITIAL_STATE/run_environment_demo.py,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,7164df9486e799af2e9d7d7ddd2aefb27dc213f150d4ad4bb1cf843616b56979,1157,ORIGINAL-COPY,Copied from scripts/run_environment_demo.py
ART_0163,run_gaze_demo.py,run_gaze_demo.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/scripts/run_gaze_demo.py,Research Paper/13_HISTORY/01_INITIAL_STATE/run_gaze_demo.py,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,8939913bdd1e7bfa492a8478c34f0011ab6b01ba7aa32e85ac181249f2906558,6919,ORIGINAL-COPY,Copied from scripts/run_gaze_demo.py
ART_0164,audit_dataset.py,audit_dataset.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/simulators/audit_dataset.py,Research Paper/12_DATASETS/04_DATASET_GENERATION/audit_dataset.py,TIER B,general,ALL,UNKNOWN,N/A,TIER B,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,04e7a7ade37ec625c7d6deb14d24a077ad76e8a3867579b4dd06619fdd1d7414,1837,ORIGINAL-COPY,Copied from simulators/audit_dataset.py
ART_0165,environment_simulator.py,environment_simulator.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/simulators/environment_simulator.py,Research Paper/12_DATASETS/04_DATASET_GENERATION/environment_simulator.py,TIER B,general,ALL,UNKNOWN,N/A,TIER B,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,67cab03fd52a6d4824937049e92e1315437f221753a3e813c7c7203b5d29ac94,2555,ORIGINAL-COPY,Copied from simulators/environment_simulator.py
